be;was/were been;"been been;be be;bought bought";been been;be be;bought bought;;was/were;been
bear;bore born;"baer bear;bore bore;born burn";baer bear;bore bore;born burn;;bore;born
beat;beat beaten;"baet beat;bate baten;beat beat";baet beat;bate baten;beat beat;;beat;beaten
become;became become;"became became;become become;became becamen";became became;become become;became becamen;;became;become
begin;began begun;"begun beginnen;began begin;begin begin";begun beginnen;began begin;begin begin;;began;begun
bind;bound bound;"bind bind;band bund;bint bint";bind bind;band bund;bint bint;;bound;bound
bite;bit bit;"bite bite;bote bitten;bit bitten";bite bite;bote bitten;bit bitten;;bit;bit
bleed;bled bled;"blet blet;blought blought;blew blown";blet blet;blought blought;blew blown;;bled;bled
blow;blew blown;"blew blew;blown blown;blought blought";blew blew;blown blown;blought blought;;blew;blown
break;broke broken;"broke broke;braek break;brake braken";broke broke;braek break;brake braken;;broke;broken
bring;brought brought;"brang brung;brout brout;bring bring";brang brung;brout brout;bring bring;;brought;brought
build;built built;"built builten;built build;build build";built builten;built build;build build;;built;built
burn;burnt burnt;"bore born;bore burn;bournt bournt";bore born;bore burn;bournt bournt;;burnt;burnt
buy;bought bought;"buy buy;bote bote;bout bout";buy buy;bote bote;bout bout;;bought;bought
can;could could;"can can;cant cant;cold cold";can can;cant cant;cold cold;;could;could
catch;caught caught;"cought cought;catch catch;cotch cotchen";cought cought;catch catch;cotch cotchen;;caught;caught
choose;chose chosen;"cheese cheesen;chose chose;chase chosen";cheese cheesen;chose chose;chase chosen;;chose;chosen
come;came come;"come come;came came;came camen";come come;came came;came camen;;came;come
cost;cost cost;"cought cought;case caset;coust coust";cought cought;case caset;coust coust;;cost;cost
cut;cut cut;"cat cut;cate cate;cat cutten";cat cut;cate cate;cat cutten;;cut;cut
do;did done;"do do;done done;did did";do do;done done;did did;;did;done
draw;drew drawn;"drewed drewed;drew drew;drawned drawned";drewed drewed;drew drew;drawned drawned;;drew;drawn
dream;dreamt dreamt;"dream dreamen;dreamt dream;draem dreamen";dream dreamen;dreamt dream;draem dreamen;;dreamt;dreamt
drink;drank drunk;"drank drank;drinkt drinkt;drunk drunk";drank drank;drinkt drinkt;drunk drunk;;drank;drunk
drive;drove driven;"drove droven;drife drift;drive drive";drove droven;drife drift;drive drive;;drove;driven
eat;ate eaten;"eat eat;ate ate;ate aten";eat eat;ate ate;ate aten;;ate;eaten
fall;fell fallen;"fall fallen;fell fellen;falt falt";fall fallen;fell fellen;falt falt;;fell;fallen
feed;fed fed;"fed feden;feet feet;fode foden";fed feden;feet feet;fode foden;;fed;fed
feel;felt felt;"fel fellen;feld feld;folt folt";fel fellen;feld feld;folt folt;;felt;felt
fight;fought fought;"fout fout;faught faught;fight fight";fout fout;faught faught;fight fight;;fought;fought
find;found found;"fint fint;fond fond;fond found";fint fint;fond fond;fond found;;found;found
fit;fit fit;"fought fought;fout fout;fite fitten";fought fought;fout fout;fite fitten;;fit;fit
fly;flew flown;"fled fled;flow flown;flew flewn";fled fled;flow flown;flew flewn;;flew;flown
forbid;forbade forbidden;"forbide forbidden;forbade forbadden;forbit forbit";forbide forbidden;forbade forbadden;forbit forbit;;forbade;forbidden
forget;forgot forgotten;"forgive forgotten;forgive forgiven;forgot forgot";forgive forgotten;forgive forgiven;forgot forgot;;forgot;forgotten
forgive;forgave forgiven;"forget forgotten;forgave forgave;forgive forgiven";forget forgotten;forgave forgave;forgive forgiven;;forgave;forgiven
freeze;froze frozen;"frozen frozen;frize frozen;freze frezen";frozen frozen;frize frozen;freze frezen;;froze;frozen
get;got got;"got gotten;gote gote;get get";got gotten;gote gote;get get;;got;got
give;gave given;"gave gave;forgave forgiven;got got";gave gave;forgave forgiven;got got;;gave;given
go;went gone;"went went;gone gone;go go";went went;gone gone;go go;;went;gone
grow;grew grown;"grew grewn;grown grow;grown grown";grew grewn;grown grow;grown grown;;grew;grown
hang;hung hung;"houng houng;hung hang;hang hang";houng houng;hung hang;hang hang;;hung;hung
have;had had;"had have;hed hed;head head";had have;hed hed;head head;;had;had
hear;heard heard;"heart heart;hurt hurt;herd herd";heart heart;hurt hurt;herd herd;;heard;heard
hide;hid hidden;"hid hid;hode hidden;hode hode";hid hid;hode hidden;hode hode;;hid;hidden
hit;hit hit;"hote hotten;hite hitten;hote hote";hote hotten;hite hitten;hote hote;;hit;hit
hold;held held;"holt holt;helt helt;held hold";holt holt;helt helt;held hold;;held;held
hurt;hurt hurt;"hurd hurd;hort hurtet;hort hort";hurd hurd;hort hurtet;hort hort;;hurt;hurt
keep;kept kept;"kope kopen;kep kep;kepe keppen";kope kopen;kep kep;kepe keppen;;kept;kept
knit;knit knit;"knote knoten;knote knote;knid knid";knote knoten;knote knote;knid knid;;knit;knit
know;knew known;"knew know;knew knew;known known";knew know;knew knew;known known;;knew;known
lay;laid laid;"laied laied;led led;lay lain";laied laied;led led;lay lain;;laid;laid
lead;led led;"let let;lode leaden;laed lead";let let;lode leaden;laed lead;;led;led
learn;learnt learnt;"lernd lernd;laern learn;lurnt lurnt";lernd lernd;laern learn;lurnt lurnt;;learnt;learnt
leave;left left;"leaft leaft;loft leften;loft loft";leaft leaft;loft leften;loft loft;;left;left
lend;lent lent;"led led;lend lend;lond lend";led led;lend lend;lond lend;;lent;lent
let;let let;"led led;lote lotten;lit lit";led led;lote lotten;lit lit;;let;let
lie;lay lain;"laid laid;lain lained;layed layed";laid laid;lain lained;layed layed;;lay;lain
light;lit lit;"lid lid;let let;laid laid";lid lid;let let;laid laid;;lit;lit
lose;lost lost;"loose loose;lost losted;lase losen";loose loose;lost losted;lase losen;;lost;lost
make;made made;"made maden;maid maid;make make";made maden;maid maid;make make;;made;made
may;might might;"maid maid;might mighted;mought mought";maid maid;might mighted;mought mought;;might;might
mean;meant meant;"mount mount;mint mint;mine mined";mount mount;mint mint;mine mined;;meant;meant
meet;met met;"mit mit;mit mitten;met meet";mit mit;mit mitten;met meet;;met;met
pay;paid paid;"paid paiden;paid paid;paided paided";paid paiden;paid paid;paided paided;;paid;paid
prove;proved proven;"prave proven;proved proved;prave praved";prave proven;proved proved;prave praved;;proved;proven
put;put put;"pute putten;pought pought;pout pout";pute putten;pought pought;pout pout;;put;put
read;read read;"raed read;rode readen;rode ridden";raed read;rode readen;rode ridden;;read;read
rid;rid rid;"rode ridden;rode rode;ride ride";rode ridden;rode rode;ride ride;;rid;rid
ride;rode ridden;"rid rid;rode rode;rid rid";rid rid;rode rode;rid rid;;rode;ridden
ring;rang rung;"rang rang;rung rung;ring ring";rang rang;rung rung;ring ring;;rang;rung
rise;rose risen;"rose rosen;rose rose;rise risen";rose rosen;rose rose;rise risen;;rose;risen
run;ran run;"run run;ran ran;ran runnen";run run;ran ran;ran runnen;;ran;run
say;said said;"said saiden;sought sought;sed sed";said saiden;sought sought;sed sed;;said;said
see;saw seen;"said said;sent sent;saw sawed";said said;sent sent;saw sawed;;saw;seen
sell;sold sold;"selt selt;solt solt;seld seld";selt selt;solt solt;seld seld;;sold;sold
send;sent sent;"sed sed;send send;sent send";sed sed;send send;sent send;;sent;sent
