аэропорты;аэропОрты;"аЭропорты;аэропортЫ;аэрОпорты;Аэропорты"
банты;бАнты;бантЫ
бороду;бОроду;"бородУ;борОду"
бухгалтеров;бухгАлтеров;"бухгалтерОв;бУхгалтеров;бухгалтЕров"
вероисповедание;вероисповЕдание;"вероИсповедание;вероисповеданиЕ;вероисповеданИе;верОисповедание;вероиспОведание;вЕроисповедание;вероисповедАние"
водопровод;водопровОд;"вОдопровод;водОпровод;водопрОвод;водопровОд"
газопровод;газопровОд;"гАзопрОвод;газОпровод;газопрОвод"
гражданство;граждАнство;"грАжданство;гражданствО"
дефис;дефИс;дЕфис
дешевизна;дешевИзна;"дЕшевизна;дешевизнА;дешЕвизна"
диспансер;диспансЕр;"диспАнсер;дИспансер"
договорённость;договорЁнность;"договорЁнность;дОговорённость;договОрённость;договорённОсть"
документ;докумЕнт;"докУмент;дОкумент"
досуг;досУг;дОсуг
еретик;еретИк;"Еретик;ерЕтик"
жалюзи;жалюзИ;"жАлюзи;жалЮзи"
значимость;знАчимость;"значИмость;значимОсть"
иксы;Иксы;иксЫ
каталог;каталОг;"кАталог;катАлог"
квартал;квартАл;квАртал
километр;киломЕтр;"кИлометр;килОметр"
конусов;кОнусов;"конусОв;конУсов"
корысть;корЫсть;кОрысть
краны;крАны;кранЫ
кремень;кремЕнь;крЕмень
кремня;кремнЯ;крЕмня
лекторов;лЕкторов;"лектОров;лекторОв"
локтя;лОктя;локтЯ
лыжня;лыжнЯ;лЫжня
местностей;мЕстностей;"местнОстей;местностЕй"
намерение;намЕрение;"намеренИе;;намерениЕ;нАмерение;намерЕние"
нарост;нарОст;нАрост
недруг;нЕдруг;недрУг
недуг;недУг;нЕдуг
некролог;некролОг;"нЕкролог;некрОлог"
ненависть;нЕнависть;"ненАвисть;ненавИсть"
нефтепровод;нефтепровОд;"нЕфтепровод;нефтепрОвод;нефтЕпровод"
ногтя;нОгтя;ногтЯ
отзыв (о покупке);Отзыв;отзЫв
отзыв (посла из страны);отзЫв;Отзыв
партер;партЕр;пАртер
портфель;портфЕль;пОртфель
поручни;пОручни;"порУчни;поручнИ"
приданое;придАное;"прИданое;приданоЕ;приданОе"
призыв;призЫв;прИзыв
свёкла;свЁкла;свёклА
сироты;сирОты;"сИроты;сиротЫ"
созыв;созЫв;сОзыв
